Category,Role / ID,Count,Status,Notes
Character family,player,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,grunt,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,shooter,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,swarm,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,charger,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,brute,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,bomber,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,shield_enemy,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,sniper_enemy,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,summoner,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,elite_tunnel_stalker,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,elite_railguard,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,elite_scrap_executioner,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,elite_crusher_unit,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,elite_mutated_brute,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,elite_prototype_x7,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,boss_the_conductor,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,boss_tunnel_maw,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,boss_foundry_titan,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,boss_scrap_king,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,boss_aegis_core,1,REQUIRED,8 facings; 6 runtime animation-state roles
Character family,boss_subject_omega,1,REQUIRED,8 facings; 6 runtime animation-state roles
Weapon world sprite,P9 Ranger,1,REQUIRED,
Weapon world sprite,Kestrel-12,1,REQUIRED,
Weapon world sprite,Quickfang,1,REQUIRED,
Weapon world sprite,Rattler-9,1,REQUIRED,
Weapon world sprite,Wasp-45,1,REQUIRED,
Weapon world sprite,Buzzsaw,1,REQUIRED,
Weapon world sprite,AR-17,1,REQUIRED,
Weapon world sprite,Marauder A2,1,REQUIRED,
Weapon world sprite,Vanguard,1,REQUIRED,
Weapon world sprite,Sentinel,1,REQUIRED,
Weapon world sprite,Hound,1,REQUIRED,
Weapon world sprite,Judicator,1,REQUIRED,
Weapon world sprite,Breacher,1,REQUIRED,
Weapon world sprite,Scatter,1,REQUIRED,
Weapon world sprite,Crowdbreaker,1,REQUIRED,
Weapon world sprite,Longshot,1,REQUIRED,
Weapon world sprite,Needle,1,REQUIRED,
Weapon world sprite,Farline,1,REQUIRED,
Weapon world sprite,Pipe,1,REQUIRED,
Weapon world sprite,Twin-Tube,1,REQUIRED,
Weapon world sprite,Sunbreaker,1,REQUIRED,
Weapon world sprite,Recurve,1,REQUIRED,
Weapon world sprite,Compound,1,REQUIRED,
Weapon world sprite,Stormstring,1,REQUIRED,
Weapon world sprite,Pulse B1,1,REQUIRED,
Weapon world sprite,Arc B4,1,REQUIRED,
Weapon world sprite,Redline,1,REQUIRED,
Weapon world sprite,Field Knife,1,REQUIRED,
Weapon world sprite,Ripper,1,REQUIRED,
Weapon world sprite,Ghostedge,1,REQUIRED,
Weapon world sprite,Scrap Spear,1,REQUIRED,
Weapon world sprite,Guard Lance,1,REQUIRED,
Weapon world sprite,Railspike,1,REQUIRED,
Biome,Ruined Metro — floor,1,REQUIRED,
